Path,SteerAngle,Throttle,Brake,Speed,X_Position,Y_Position,Pitch,Yaw,Roll
D:\Deep\Learning\Udacity\RoboND\P1\IMG\robocam_2017_05_13_17_32_37_727.jpg,0,1,0,1.372196,100.8767,85.93768,1.242934,17.41841,0.0008519463
D:\Deep\Learning\Udacity\RoboND\P1\IMG\robocam_2017_05_13_17_32_37_773.jpg,0,1,0,1.403307,100.9311,85.95497,1.244163,17.42561,0.0009459908
D:\Deep\Learning\Udacity\RoboND\P1\IMG\robocam_2017_05_13_17_32_37_819.jpg,0,1,0,1.433454,101.015,85.98166,1.247245,17.43985,0.000966327
D:\Deep\Learning\Udacity\RoboND\P1\IMG\robocam_2017_05_13_17_32_37_869.jpg,0,1,0,1.48069,101.0724,85.99994,1.249629,17.44939,0.0009554932
D:\Deep\Learning\Udacity\RoboND\P1\IMG\robocam_2017_05_13_17_32_37_915.jpg,0,1,0,1.512103,101.131,86.01862,1.252936,17.45763,0.0009726274
D:\Deep\Learning\Udacity\RoboND\P1\IMG\robocam_2017_05_13_17_32_37_963.jpg,0,1,0,1.54318,101.2211,86.04736,1.256024,17.46795,0.00100113
D:\Deep\Learning\Udacity\RoboND\P1\IMG\robocam_2017_05_13_17_32_38_010.jpg,0,1,0,1.58967,101.2827,86.06701,1.261162,17.47787,0.0009980362
D:\Deep\Learning\Udacity\RoboND\P1\IMG\robocam_2017_05_13_17_32_38_055.jpg,0,1,0,1.621275,101.3454,86.08701,1.261632,17.48277,0.001012448
D:\Deep\Learning\Udacity\RoboND\P1\IMG\robocam_2017_05_13_17_32_38_103.jpg,0,1,0,1.651412,101.4417,86.11777,1.26752,17.49458,0.001038656
D:\Deep\Learning\Udacity\RoboND\P1\IMG\robocam_2017_05_13_17_32_38_148.jpg,0,1,0,1.697448,101.5074,86.13876,1.27086,17.50169,0.00105862
D:\Deep\Learning\Udacity\RoboND\P1\IMG\robocam_2017_05_13_17_32_38_195.jpg,2.053346,1,0,1.728114,101.574,86.16058,1.269805,17.60464,0.0003858937
D:\Deep\Learning\Udacity\RoboND\P1\IMG\robocam_2017_05_13_17_32_38_243.jpg,4.177258,1,0,1.759287,101.6756,86.19541,1.271873,17.99298,-0.001337446
D:\Deep\Learning\Udacity\RoboND\P1\IMG\robocam_2017_05_13_17_32_38_287.jpg,6.313716,1,0,1.804642,101.7443,86.22013,1.270702,18.40678,-0.001492123
D:\Deep\Learning\Udacity\RoboND\P1\IMG\robocam_2017_05_13_17_32_38_333.jpg,8.333502,1,0,1.832497,101.8137,86.24641,1.268871,18.96861,0.003649283
D:\Deep\Learning\Udacity\RoboND\P1\IMG\robocam_2017_05_13_17_32_38_381.jpg,10.37024,1,0,1.861819,101.9186,86.28928,1.262198,20.08421,0.03998531
D:\Deep\Learning\Udacity\RoboND\P1\IMG\robocam_2017_05_13_17_32_38_429.jpg,8.208978,1,0,1.904158,101.9896,86.31869,1.248294,20.77965,0.0442664
